timestamp,open,high,low,close,volume
1642680000000,3150.87,3151.24,3126.60,3134.60,61617.495
1642683600000,3134.60,3182.93,3131.45,3180.61,103060.811
1642687200000,3180.62,3221.00,3180.61,3216.89,139916.765
1642690800000,3216.90,3271.64,3215.00,3260.67,186123.412
1642694400000,3260.67,3272.24,3237.78,3245.20,102982.469
1642698000000,3245.20,3249.92,3225.09,3231.88,53194.299
1642701600000,3231.89,3234.83,3203.56,3206.65,78317.913
1642705200000,3206.64,3243.63,3203.00,3214.53,80080.800
1642708800000,3214.55,3218.74,3183.00,3193.75,73023.820
1642712400000,3193.74,3196.29,3077.48,3078.74,173283.504
1642716000000,3078.74,3104.75,3019.93,3059.14,203100.495
1642719600000,3059.13,3059.94,2985.00,2999.92,181083.225
1642723200000,2999.92,3031.90,2970.00,3015.06,166528.007
1642726800000,3015.06,3017.93,2890.59,2898.74,226746.568
1642730400000,2898.74,2954.05,2880.57,2906.06,199657.322
1642734000000,2906.05,2916.50,2806.50,2836.04,323757.033
1642737600000,2836.04,2879.71,2833.55,2860.87,109132.899
1642741200000,2860.91,2875.25,2846.79,2856.93,82846.250
1642744800000,2856.92,2865.00,2832.64,2844.25,78959.563
1642748400000,2844.26,2893.67,2834.00,2879.82,99805.254
1642752000000,2879.81,2896.52,2874.41,2890.06,87226.102
1642755600000,2890.06,2891.55,2866.55,2867.35,61600.729
1642759200000,2867.36,2886.11,2861.17,2871.67,69606.630
1642762800000,2871.67,2876.86,2834.00,2847.33,95744.418
1642766400000,2847.32,2853.77,2726.35,2776.84,358525.251
1642770000000,2776.84,2814.17,2757.59,2796.29,188161.228
1642773600000,2796.29,2834.34,2763.19,2782.65,207159.441
1642777200000,2782.65,2852.50,2763.76,2830.14,235449.729
1642780800000,2830.14,2860.22,2789.29,2808.79,165771.048
1642784400000,2808.31,2814.00,2764.43,2778.86,102893.153
1642788000000,2778.75,2805.38,2752.55,2764.33,128374.177
1642791600000,2764.37,2788.58,2737.59,2740.36,89565.552
1642795200000,2740.35,2762.89,2700.00,2743.71,248211.010
1642798800000,2744.24,2759.06,2555.00,2606.86,440725.377
1642802400000,2606.86,2648.02,2495.02,2545.00,364491.149
1642806000000,2545.14,2597.69,2460.00,2566.91,386336.469
1642809600000,2566.91,2625.60,2548.41,2590.68,223569.866
1642813200000,2590.29,2616.83,2578.02,2606.28,113906.372
1642816800000,2606.28,2608.86,2579.71,2592.20,91978.615
1642820400000,2592.21,2615.63,2538.00,2565.73,135735.861
1642824000000,2565.73,2575.00,2546.00,2554.31,84863.581
1642827600000,2554.46,2564.09,2482.29,2495.00,166733.996
1642831200000,2494.88,2532.75,2461.00,2506.20,227950.440
1642834800000,2506.20,2527.36,2422.76,2461.13,237023.634
1642838400000,2461.60,2504.49,2461.13,2468.13,133960.000
1642842000000,2467.95,2486.01,2367.85,2388.10,312482.076
1642845600000,2387.88,2468.83,2293.56,2449.17,636772.827
1642849200000,2449.39,2479.03,2385.00,2430.11,197885.223
1642852800000,2430.17,2498.09,2421.76,2489.02,183688.669
1642856400000,2489.02,2518.48,2456.07,2466.00,169579.884
1642860000000,2466.00,2472.37,2415.32,2418.17,126100.773
1642863600000,2418.18,2430.80,2378.43,2385.72,194284.881
1642867200000,2385.72,2466.45,2360.81,2438.90,266149.518
1642870800000,2438.49,2450.80,2367.32,2378.98,182339.543
1642874400000,2378.98,2396.64,2321.06,2329.59,208495.749
1642878000000,2329.60,2375.13,2318.00,2335.92,154379.994
1642881600000,2336.15,2456.64,2316.72,2428.80,311526.324
1642885200000,2428.75,2470.72,2408.75,2444.02,119471.547
1642888800000,2444.40,2445.46,2363.96,2377.83,97264.314
1642892400000,2377.82,2414.00,2369.21,2410.96,86255.186
1642896000000,2410.57,2449.23,2397.63,2446.52,115926.673
1642899600000,2446.51,2462.99,2432.56,2444.07,94075.177
1642903200000,2444.07,2447.43,2386.30,2393.18,89190.164
1642906800000,2392.97,2418.60,2384.19,2414.96,62954.281
1642910400000,2414.89,2444.00,2406.22,2432.00,79203.620
1642914000000,2432.00,2485.56,2409.82,2466.90,130655.932
1642917600000,2466.87,2479.30,2448.89,2461.09,87738.938
1642921200000,2461.10,2500.00,2456.17,2486.10,95962.918
1642924800000,2485.80,2519.26,2473.64,2517.30,149098.151
1642928400000,2517.30,2549.00,2506.27,2532.02,123910.666
1642932000000,2532.14,2535.70,2511.90,2532.56,77523.859
1642935600000,2532.74,2534.96,2490.48,2497.59,76433.746
1642939200000,2497.58,2504.38,2481.38,2494.25,74383.015
1642942800000,2494.26,2508.95,2481.76,2504.00,67605.883
1642946400000,2504.00,2513.75,2403.00,2431.34,230278.196
1642950000000,2431.34,2438.28,2416.88,2431.04,74626.279
1642953600000,2431.03,2456.00,2413.65,2424.76,86775.919
1642957200000,2424.58,2444.96,2421.39,2435.77,39288.738
1642960800000,2435.77,2444.57,2404.98,2412.96,68427.993
1642964400000,2413.18,2428.06,2373.88,2382.36,111857.963
1642968000000,2382.36,2427.03,2368.00,2421.88,88986.511
1642971600000,2421.88,2438.68,2402.88,2420.52,55832.030
1642975200000,2420.57,2446.99,2417.37,2444.01,48315.209
1642978800000,2444.00,2548.08,2436.01,2538.41,242923.007
1642982400000,2538.40,2539.59,2482.24,2489.17,132011.975
1642986000000,2489.23,2499.98,2450.40,2456.24,77345.396
1642989600000,2456.24,2462.00,2428.86,2434.95,77112.166
1642993200000,2434.95,2461.83,2431.38,2457.74,57250.133
1642996800000,2457.74,2468.64,2425.88,2436.95,56314.647
1643000400000,2436.95,2443.84,2417.24,2437.97,71278.870
1643004000000,2437.90,2454.88,2427.13,2433.87,49246.603
1643007600000,2433.87,2433.88,2378.01,2384.95,117442.396
1643011200000,2384.94,2445.03,2356.00,2383.00,217673.120
1643014800000,2382.99,2393.81,2318.11,2334.48,242679.763
1643018400000,2334.48,2342.29,2205.00,2215.12,461952.730
1643022000000,2215.14,2285.00,2199.74,2237.98,317846.562
1643025600000,2237.99,2249.00,2168.94,2190.00,276341.857
1643029200000,2190.00,2231.21,2170.18,2182.97,368090.334
1643032800000,2182.70,2255.50,2151.00,2203.37,370256.205
1643036400000,2203.32,2286.32,2163.70,2273.84,355594.142
1643040000000,2273.84,2316.00,2219.54,2259.56,304100.621
1643043600000,2259.38,2366.00,2211.22,2347.38,322968.712
1643047200000,2347.04,2408.72,2331.24,2384.71,257718.363
1643050800000,2384.70,2399.15,2339.42,2377.21,137837.496
1643054400000,2377.20,2480.00,2366.45,2463.31,181588.344
1643058000000,2463.81,2476.63,2435.71,2440.53,104651.893
1643061600000,2440.55,2453.39,2406.62,2411.53,64680.416
1643065200000,2411.53,2448.34,2410.43,2438.13,72317.510
1643068800000,2437.87,2441.00,2384.72,2387.25,87313.146
